Delay,DEPARTURE,CARRIER,DEST,DISTANCE,FL_NUM,ORIGIN,Weather,DAY_WEEK,Flight Status
0,11,OH,JFK,184,5935,BWI,0,4,ontime
0,13,DH,JFK,213,6155,DCA,0,4,ontime
0,8,DH,LGA,229,7208,IAD,0,4,ontime
-6,13,DH,LGA,229,7215,IAD,0,4,ontime
-4,6,DH,LGA,229,7792,IAD,0,4,ontime
-1,4,DH,JFK,228,7800,IAD,0,4,ontime
3,8,DH,JFK,228,7806,IAD,0,4,ontime
-1,13,DH,JFK,228,7810,IAD,0,4,ontime
-5,13,DH,JFK,228,7812,IAD,0,4,ontime
9,18,DH,JFK,228,7814,IAD,0,4,ontime
-6,18,DH,LGA,229,7924,IAD,0,4,ontime
3,11,DL,JFK,213,746,DCA,0,4,ontime
2,4,DL,LGA,214,1746,DCA,0,4,ontime
-1.99999999999989,8,DL,LGA,214,1752,DCA,0,4,ontime
-1,10,DL,LGA,214,1756,DCA,0,4,ontime
-2,13,DL,LGA,214,1762,DCA,0,4,ontime
-1,17,DL,LGA,214,1768,DCA,0,4,ontime
-4.99999999999989,11,MQ,JFK,213,4752,DCA,0,4,ontime
-4,1,MQ,JFK,213,4760,DCA,0,4,ontime
-8,15,MQ,JFK,213,4784,DCA,0,4,ontime
-7,4,MQ,LGA,214,4956,DCA,0,4,ontime
-6,8,MQ,LGA,214,4964,DCA,0,4,ontime
-3.99999999999989,10,MQ,LGA,214,4966,DCA,0,4,ontime
-8,11,MQ,LGA,214,4968,DCA,0,4,ontime
-7,15,MQ,LGA,214,4976,DCA,0,4,ontime
-9,4,UA,LGA,229,846,IAD,0,4,ontime
-2,4,US,LGA,214,2164,DCA,0,4,ontime
-4,6,US,LGA,214,2168,DCA,0,4,ontime
-7,8,US,LGA,214,2172,DCA,0,4,ontime
-2,11,US,LGA,214,2176,DCA,0,4,ontime
-4.99999999999989,13,US,LGA,214,2180,DCA,0,4,ontime
-5,17,US,LGA,214,2188,DCA,0,4,ontime
-3,11,RU,EWR,169,2403,BWI,0,4,ontime
-10,13,RU,EWR,169,2675,BWI,0,4,ontime
0,6,RU,EWR,169,2303,BWI,0,4,ontime
-4.00000000000006,2,RU,EWR,169,2703,BWI,0,4,ontime
-4,8,CO,EWR,199,808,DCA,0,4,ontime
-4,13,CO,EWR,199,814,DCA,0,4,ontime
0,4,DH,EWR,213,7299,IAD,0,4,ontime
-6,13,DH,EWR,213,7302,IAD,0,4,ontime
0,8,DH,EWR,213,7303,IAD,0,4,ontime
-2,18,DH,EWR,213,7304,IAD,0,4,ontime
-9.00000000000011,13,RU,EWR,213,2497,IAD,0,4,ontime
-10,15,RU,EWR,213,2385,IAD,0,4,ontime
-4.00000000000023,11,RU,EWR,199,2261,DCA,0,4,ontime
-5,15,RU,EWR,199,2336,DCA,0,4,ontime
-2.99999999999989,10,RU,EWR,199,2216,DCA,0,4,ontime
-7,11,RU,EWR,213,2156,IAD,0,4,ontime
-5,8,RU,EWR,213,2664,IAD,0,4,ontime
-5,12,RU,EWR,199,2181,DCA,0,4,ontime
0,11,OH,JFK,184,5935,BWI,0,5,ontime
1,13,DH,JFK,213,6155,DCA,0,5,ontime
4,8,DH,LGA,229,7208,IAD,0,5,ontime
36,11,DH,LGA,229,7211,IAD,0,5,delayed
-3,13,DH,LGA,229,7215,IAD,0,5,ontime
5,1,DH,LGA,229,7790,IAD,0,5,ontime
117,6,DH,LGA,229,7792,IAD,0,5,delayed
